Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike air max 1 zwart,22.0,NIKE,NOIR,23,https://www.vinted.fr/items/3774689700-nike-air-max-1-zwart?referrer=catalog,https://images1.vinted.net/t/03_02203_zrJ7V1R2TV8jpn2uEzBiRptH/310x430/1700305855.jpeg?s=fdf76bd481d3b7e6520f10e1d45fd39855e07a49,"AMSTERDAM, PAYS-BAS",Kid
Air,,"25,00 €",NOIR,Nike,https://www.vinted.fr/items/3815620787-air-max?referrer=catalog,https://images1.vinted.net/t/03_00a2b_Ug4GJwz4v1qKjS7uPu1TwNmW/310x430/1701078891.jpeg?s=5eb09c8fdd9afaeb8b182878663c933fd8d17ada,"CARS, FRANCE",Kid
Air max 270 P21,18.0,NIKE,"BLANC, ROSE",21,https://www.vinted.fr/items/3640857594-air-max-270-p21?referrer=catalog,https://images1.vinted.net/t/03_00f89_aR1BszjER86QL2eKmL5XGJAf/310x430/1697889234.jpeg?s=2ef68915e63b8e0675d304deca67c8eaf5b19240,"LAON, FRANCE",Kid
Air max ,10.0,NIKE,"GRIS, ROSE",31,https://www.vinted.fr/items/3087572634-air-max?referrer=catalog,https://images1.vinted.net/t/02_01cd6_Sc2obrvPnzDaBJuPPkGH7cNx/310x430/1685629092.jpeg?s=bb5dd68de423ee7a71d29b9a245a2f42f9a422bd,"FATINES, FRANCE",Kid
Nike Air Max SC,10.0,NIKE,"BLANC, ROSE",22,https://www.vinted.fr/items/3514035319-nike-air-max-sc?referrer=catalog,https://images1.vinted.net/t/02_01e2a_aaAapghDCUWgsbfes5Hogkei/310x430/1695541075.jpeg?s=fde4c4318cabaa83eafb631054c9baee1f79c822,"PARIS, FRANCE",Kid
Nike air max 1,,"55,00 €","BLANC, ABRICOT",Nike,https://www.vinted.fr/items/3884688071-nike-air-max-1-maat-195?referrer=catalog,https://images1.vinted.net/t/01_013e9_Mk2y9Z35xgKUHwye5sVoyxWW/310x430/1702645491.jpeg?s=a21ca73331711b32af471a378208a358f9c365cf,"ZEIST, PAYS-BAS",Kid
Nike Air Max 1,15.0,NIKE,"ROSE, ARGENTÉ",37,https://www.vinted.fr/items/2942865856-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/02_001bc_QKrYhAF1MK1DibPz9ggnuCvm/310x430/1682362744.jpeg?s=54fac12ba0aa6940fd69c8355e52a1aef8576b1c,"BARCELONA, ESPAGNE",Kid
Air Max 95 ,22.5,NIKE,"NOIR, BLEU",38,https://www.vinted.fr/items/3505490681-air-max-95?referrer=catalog,https://images1.vinted.net/t/02_01ef9_xa1iBuwF9gmsLaJP29amsqxx/310x430/1695372107.jpeg?s=ba7edb29055b36dacdd921621028960db144c4ef,FRANCE,Kid
"Scarpe NIKE air max EXCEE n.39 (6,5)",11.0,NIKE,"CORAIL, ROSE",39,https://www.vinted.fr/items/3498935102-scarpe-nike-air-max-excee-n39-65?referrer=catalog,https://images1.vinted.net/t/02_01a31_nmJdq4b552w8Kjj8yhPCYnnm/310x430/1695221352.jpeg?s=138370927f9dcb781b57c28f3609a0fb470c3788,"CISERANO, ITALIE",Kid
Baskets Nike Air Max,10.0,NIKE,"GRIS, ROSE",21,https://www.vinted.fr/items/3529501616-baskets-nike-air-max?referrer=catalog,https://images1.vinted.net/t/03_01d0c_rhxN49k54jSsQbVRSjjeByeY/310x430/1695803673.jpeg?s=2c31e0ce7887b19b4eb0f3cba9457f2c7b2d9747,FRANCE,Kid
