Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Zwarte nike. Bieden mag,10.0,NIKE,NOIR,38,https://www.vinted.fr/items/658587996-zwarte-nike-bieden-mag?referrer=catalog,https://images1.vinted.net/t/01_0054c_yoyrksvqmhLQUhBqzuDh4Csw/310x430/1603011967.jpeg?s=4b5ef371949c7d8e4d3fc14e2f84de2f7532d016,"GROENLO, PAYS-BAS",Kid
Chaussures football Nike crampons,29.0,NIKE,NOIR,39,https://www.vinted.fr/items/3278579801-chaussures-football-nike-crampons?referrer=catalog,https://images1.vinted.net/t/02_012a0_3gGVyQFa46W9yps3eXrES1t3/310x430/1690317177.jpeg?s=1de8c24a5c30e92f1f9703b64882e093771ac75f,"ARGENVILLIERS, FRANCE",Kid
Nike air max 97 talla 36.    23cm originales a estrenar,89.0,NIKE,"NOIR, ROUGE",36,https://www.vinted.fr/items/3909039623-nike-air-max-97-talla-36-23cm-originales-a-estrenar?referrer=catalog,https://images1.vinted.net/t/03_016e7_Pz5SQg2EJupKjyik2fjN4qV9/310x430/1703601083.jpeg?s=2fe473a86d7c1ecdd198c28c4166e282b9422d87,ESPAGNE,Kid
Baby Nike airforce ,12.5,NIKE,"GRIS, BLANC",18,https://www.vinted.fr/items/3350394965-baby-nike-airforce?referrer=catalog,https://images1.vinted.net/t/03_02177_2pBwouUG2fTAc2dukyStmByq/310x430/1692026925.jpeg?s=002ab535d54a59fb18468652929778f2ec9a5f00,"ROTTERDAM, PAYS-BAS",Kid
Nike Air Max 720 Black/Anthracite,40.0,NIKE,NOIR,38,https://www.vinted.fr/items/3819113060-nike-air-max-720-blackanthracite?referrer=catalog,https://images1.vinted.net/t/02_0083b_2JJWzv1qPiM4Q4jNfFwsYxmN/310x430/1701122122.jpeg?s=36fa8bbd1b913089cc3824a3bbb1fc064df9618f,"BREDA, PAYS-BAS",Kid
Nike loopschoenen ,15.0,NIKE,"GRIS, MULTICOLORE",38,https://www.vinted.fr/items/3374855989-nike-loopschoenen?referrer=catalog,https://images1.vinted.net/t/01_00c27_5DrXJA3Xhmo1zz2Yt9PZVofp/310x430/1692624734.jpeg?s=c147c8193c11ab187573988f9bb970c06f9a6214,BELGIQUE,Kid
Leuke Nike AirMax maat 25,10.0,NIKE,"NOIR, MARINE",25,https://www.vinted.fr/items/3493903763-leuke-nike-airmax-maat-25,https://images1.vinted.net/t/01_01de2_VjoWq6J9YZ8B2ePqudpQJuUS/310x430/1695127557.jpeg?s=aa1a17440f20e52c8e512e335c44cf2a33bd5794,PAYS-BAS,Kid
Blauwe nike sneakers 22 nieuw,20.0,NIKE,BLEU,22,https://www.vinted.fr/items/3609156517-blauwe-nike-sneakers-22-nieuw?referrer=catalog,https://images1.vinted.net/t/03_01fe7_uNsgj9VNnuxBU7mcKiMd83hh/310x430/1697312878.jpeg?s=85401299a4d5aca841eaba63dfd4b336c36b3c26,"WOMMELGEM, BELGIQUE",Kid
Nike air max 90.    Talla 31.5.  19.5cm originales a estrenar,75.0,NIKE,BLANC,31,https://www.vinted.fr/items/3909094133-nike-air-max-90-talla-315-195cm-originales-a-estrenar?referrer=catalog,https://images1.vinted.net/t/03_01691_rbYMMoDzLLto4r7LahiFwydm/310x430/1703602028.jpeg?s=127321579f87bdf4ee5fa18e5bb005359eff9a01,ESPAGNE,Kid
Kindersneakers Nike _ maatje 26,25.0,NIKE,"NOIR, BLANC",26,https://www.vinted.fr/items/3545561487-kindersneakers-nike-maatje-26?referrer=catalog,https://images1.vinted.net/t/03_00d99_oztLmawGPy17duik2Mdj7JEC/310x430/1696139569.jpeg?s=5482db91a880a91cdcbbf06ccc3f28704012632e,"WACHTEBEKE, BELGIQUE",Kid
Gymschoenen nike maat 40,10.0,NIKE,NOIR,40,https://www.vinted.fr/items/2183131476-gymschoenen-nike-maat-40?referrer=catalog,https://images1.vinted.net/t/02_00d49_VKPFQBuKf1JKkrCCuAqNAzRW/310x430/1662797979.jpeg?s=a5cf9a594196dc71255371874e0e3718cfc0633e,"OLDENZAAL, PAYS-BAS",Kid
Nike tiempo zaalvoetbal ,20.0,NIKE,NOIR,37,https://www.vinted.fr/items/3312411082-nike-tiempo-zaalvoetbal?referrer=catalog,https://images1.vinted.net/t/03_018ca_21d8Au5YRogXzSuAKN5yLfQt/310x430/1691148916.jpeg?s=9ff392d3b564937e501dd9a11c70ddbebf1d90be,PAYS-BAS,Kid
nike huarache sneakers,25.0,NIKE,NOIR,23,https://www.vinted.fr/items/3755566264-nike-huarache-sneakers?referrer=catalog,https://images1.vinted.net/t/01_00be5_tgwo8jKzcEb9JDHuigSVE3iy/310x430/1699893814.jpeg?s=f0e4fde39aa7cd9706f0c34e9e7a3ae1b9aa7293,"ARNHEM, PAYS-BAS",Kid
Mag weg aan -30%.Nike  babyschoen maat 19,11.0,NIKE,NOIR,19,https://www.vinted.fr/items/413852634-mag-weg-aan-30nike-babyschoen-maat-19?referrer=catalog,https://images1.vinted.net/t/02_00a78_hMrZv4aY4BYyqsZVT5uytttH/310x430/1604835635.jpeg?s=629610f3edaddda9af34ed733991c6039eb9e1d7,"KRUIBEKE, BELGIQUE",Kid
Nikes maat 22,20.0,NIKE,"NOIR, DORÉ",22,https://www.vinted.fr/items/694705498-nikes-maat-22?referrer=catalog,https://images1.vinted.net/t/02_011bb_h6VNDpaDkjeSDTDLC9KzNyye/310x430/1604997404.jpeg?s=457ac7c1fe03573b891b4351eb14550b76dd9ced,"'S-GRAVENHAGE, PAYS-BAS",Kid
Jongens Nike schoen,10.0,NIKE,BLEU,32,https://www.vinted.fr/items/181212926-jongens-nike-schoen?referrer=catalog,https://images1.vinted.net/t/01_00fd3_hcxhFLa6PqaWwKvFiWg1bohU/310x430/1601791692.jpeg?s=0be855f9eac98e5e435f54e1cfa147dda647f441,PAYS-BAS,Kid
Mooie sneakers ,20.0,NIKE,BLANC,25,https://www.vinted.fr/items/3228883258-mooie-sneakers?referrer=catalog,https://images1.vinted.net/t/01_01d60_hXVHpzXHZzJNNBDMV7pF12Xx/310x430/1689062926.jpeg?s=d31202008dd62b4b4010bb6ac9b203f0681f92ac,"EDEGEM, BELGIQUE",Kid
Nike force 1 ,35.0,NIKE,"MARRON, MOUTARDE",30,https://www.vinted.fr/items/3815874892-nike-force-1?referrer=catalog,https://images1.vinted.net/t/03_017e0_z7RmvkuSg2TFcXMyJp4cQy9E/310x430/1701082077.jpeg?s=389f77a87162097e7da15909b7943b56b59edba9,"OSS, PAYS-BAS",Kid
Niks  maat 21,30.0,NIKE,"NOIR, BLEU",21,https://www.vinted.fr/items/3518630677-niks-maat-21?referrer=catalog,https://images1.vinted.net/t/03_022d7_pswLWC6Tr4ACfHTSLeesh8Fd/310x430/1695575939.jpeg?s=9e890daf5a6c00dbf3c1529458bdcbcf593e55b5,"CAPELLE AAN DEN IJSSEL, PAYS-BAS",Kid
Sportschoenen Nike maat 35,16.0,NIKE,BLANC,35,https://www.vinted.fr/items/1536240602-sportschoenen-nike-maat-35?referrer=catalog,https://images1.vinted.net/t/03_006f0_6LJr1sNTYe2Q25HGhotogL6t/310x430/1641129182.jpeg?s=3fac157a85ad379a61d9245b288584a1a1b9b12b,"WAREGEM, BELGIQUE",Kid
Jordan access TD maat 21,20.0,NIKE,"NOIR, BLANC",21,https://www.vinted.fr/items/2847506337-jordan-access-td-maat-21?referrer=catalog,https://images1.vinted.net/t/02_01921_o53FZoiWnFwLee7raGJaso3Z/310x430/1680179891.jpeg?s=f9e25b8e8e6600e7db657b9144e8e947755fb91f,PAYS-BAS,Kid
Nike kids sneakers ,15.0,NIKE,BLANC,31,https://www.vinted.fr/items/2146674648-nike-kids-sneakers?referrer=catalog,https://images1.vinted.net/t/02_00fbd_F2LEQb3odr3NXEFhjFF4HR84/310x430/1661778638.jpeg?s=91979ff572b43cc97f6f77ee1e2861dac53b9cb7,"'S-GRAVENHAGE, PAYS-BAS",Kid
Witte Nike schoenen maat 36,38.0,NIKE,BLANC,36,https://www.vinted.fr/items/3570713626-witte-nike-schoenen-maat-36?referrer=catalog,https://images1.vinted.net/t/03_01ea2_A52whQfVBG95ziJgUV59bveH/310x430/1696603181.jpeg?s=df111ef02c480f1ca787d73bd47d8d70c2e47cc9,BELGIQUE,Kid
Air Jordan mid 1 elephant print,110.0,NIKE,"NOIR, GRIS",37,https://www.vinted.fr/items/3869578748-air-jordan-mid-1-elephant-print?referrer=catalog,https://images1.vinted.net/t/01_01cbf_EU6BsdJ6a2XfS5nV9q2t5zMG/310x430/1702241642.jpeg?s=0e88f4ad031d28f6ee1902ae8af8080165c52672,"ARNHEM, PAYS-BAS",Kid
