Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike air force 1 highness(TD)(22),15.0,NIKE,"NOIR, VIOLET",22,https://www.vinted.fr/items/3840429253-nike-air-force-1-highnesstd22,https://images1.vinted.net/t/01_024bb_jCMJaRcsFNqtML7oE1PjFvnv/310x430/1701613339.jpeg?s=84623aa9f8b735761341428048e4a43074c24983,"BOURG-LÈS-VALENCE, FRANCE",Kid
Nike air force 1 montantes 27,20.0,NIKE,NOIR,27,https://www.vinted.fr/items/3412665143-nike-air-force-1-montantes-27?referrer=catalog,https://images1.vinted.net/t/02_01852_7Xu1g3dm4P1oD3p1g5AhmoZS/310x430/1693408052.jpeg?s=2ede437c814c9d792f9fe806ce30a4d435af117e,"BONNEVAL, FRANCE",Kid
Nike Air Force 1 ,20.0,NIKE,BLANC,21,https://www.vinted.fr/items/3869444731-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_022a1_8d9NSoxHMG8ySYjKdSs2boyt/310x430/1702239931.jpeg?s=c49ac1096f91e2b3394c4cfb8fe128cdf88d7743,"BUCILLY, FRANCE",Kid
"Nike Air Force 1 licht roze maat 33,5",5.0,NIKE,ROSE,33,https://www.vinted.fr/items/3854551971-nike-air-force-1-licht-roze-maat-335?referrer=catalog,https://images1.vinted.net/t/02_00d5d_329EvRZH6PC1s1qSrFMxPK45/310x430/1701940791.jpeg?s=628c31f65db8492b15cd57230933d96818a6d09e,"ALMERE, PAYS-BAS",Kid
Air Force 1 ,5.0,NIKE,BLANC,18,https://www.vinted.fr/items/3843477416-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_023e4_eML69SVVgVgN12JPv53jLAQo/310x430/1701681204.jpeg?s=d6b18dd644e3c65462244785b32d34406684310a,"FIGARI, FRANCE",Kid
Nike air force 1,15.0,NIKE,BLANC,16,https://www.vinted.fr/items/3836111966-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_0191f_vwRPcxSG5tJQ4hgYdr4jCSnb/310x430/1701526295.jpeg?s=3705b87a617c4f914dffd7b8cf666b590545a32d,"GRABELS, FRANCE",Kid
Nike air force 1 ,16.0,NIKE,BLANC,21,https://www.vinted.fr/items/3153500269-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_001f4_3BrbHDGKidXn7XgzFgRX9rFe/310x430/1687176631.jpeg?s=bd4c37f400a64cef8da8805975202405c59b4f96,"LE PRADET, FRANCE",Kid
Air Force 1,12.0,NIKE,"NOIR, ROUGE",19,https://www.vinted.fr/items/3550870915-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_005b9_KN4quWnJz8kn14MUiE4oCYBt/310x430/1696191203.jpeg?s=34e01e0abf0ee287a09ee0d3d57fe799535c4d27,"ARGENTEUIL, FRANCE",Kid
Air force 1 bébé ,10.0,NIKE,BLANC,17,https://www.vinted.fr/items/3651459796-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/03_0028c_QCayEQCyAgk8beP6XawxdfnH/310x430/1698041842.jpeg?s=25bd7be518e720ac48c8b95227180eda60a6f536,"ALLAUCH, FRANCE",Kid
Air force 1 enfant basket Nike ,20.0,NIKE,"BLANC, BLEU",28,https://www.vinted.fr/items/3854964483-air-force-1-enfant-basket-nike?referrer=catalog,https://images1.vinted.net/t/01_01c6d_gtVmKDySGzGs1jZdQfshZEiC/310x430/1701947364.jpeg?s=674bae808a82e8704b3a71acaa6edd54b14796e6,"FONTAINE-LE-BOURG, FRANCE",Kid
