Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
46,nike dunk orange neuve ,38.0,NIKE,ORANGE,26,https://www.vinted.fr/items/3871292917-nike-dunk-orange-neuve?referrer=catalog,https://images1.vinted.net/t/01_00249_dpkL4FousyiBJVHtVrBtLsfY/310x430/1702299154.jpeg?s=57869ace3d02705a1b90220e286ffe10eb388144,"ECCICA-SUARELLA, FRANCE",Kid
47,Basket ,45.0,NIKE,"NOIR, BLANC",27,https://www.vinted.fr/items/3879964669-basket?referrer=catalog,https://images1.vinted.net/t/03_00f4b_o9gwd1jUt9kh1ZkFhQhK6kzU/310x430/1702495366.jpeg?s=5aa95018883d8d61c1a33cc78c695a3620ac5e08,"SAINT-OUEN, FRANCE",Kid
48,Nike dunk low ,50.0,NIKE,"NOIR, BLANC",25,https://www.vinted.fr/items/3877469527-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_00286_dN5cDhJqsQe86VvxKEtDurgD/310x430/1702457976.jpeg?s=327a5db4c514c4fcfb6556706cc120a24d0870c6,FRANCE,Kid
49,Niks dunk low ,30.0,NIKE,"GRIS, BLANC",26,https://www.vinted.fr/items/3883676872-niks-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_00f60_xSD6jQ3ReyU2EmF32PNyo6gt/310x430/1702606852.jpeg?s=28fee7720b8ef6fc63d2731cd3f7ff4e0829e280,"GOES, PAYS-BAS",Kid
50,Nike dunk low taille 23.5 ,45.0,NIKE,"NOIR, BLANC",23,https://www.vinted.fr/items/3870216924-nike-dunk-low-taille-235?referrer=catalog,https://images1.vinted.net/t/02_00021_Zuekex7x4GMLfkY5qMMC2hfx/310x430/1702281023.jpeg?s=08b9de7352410669b6236403f6e4fa836f61bfb6,"MOUGINS, FRANCE",Kid
51,Stikers autocollants Nike Dunk low Off-White et Air Jordan 1 adolescents divertissement ,3.5,NIKE,MULTICOLORE,Taille non spécifiée,https://www.vinted.fr/items/3832550323-stikers-autocollants-nike-dunk-low-off-white-et-air-jordan-1-adolescents-divertissement?referrer=catalog,https://images1.vinted.net/t/02_003d4_6uf2Pfz6Egv9DABQua6R922Y/310x430/1701440173.jpeg?s=04f370d6fa27b67163dd1bc7027facf93a66ade1,FRANCE,Kid
52,Dunk Pink 28.5,28.0,NIKE,"ROSE, ROSE",28,https://www.vinted.fr/items/3865571230-dunk-pink-285?referrer=catalog,https://images1.vinted.net/t/03_02301_y9PU19EZmJtfEbsCuaYXtjmm/310x430/1702202422.jpeg?s=33c248c920a4f42b45b02d32ec9f26c8c7123b4b,"AMILLY, FRANCE",Kid
53,🎅🌹Nike Dunk Orange Syracuse Low EU 38,59.9,NIKE,ORANGE,38,https://www.vinted.fr/items/3892048699-nike-dunk-orange-syracuse-low-eu-38?referrer=catalog,https://images1.vinted.net/t/02_020f6_1pyQ1Zzc3HXJ619Nfsj6rmJU/310x430/1702840780.jpeg?s=cb5fef5b0c4ca7a5cdc676e5692dee783555d37a,"MONTAUBAN, FRANCE",Kid
54,Nike dunk low 21,25.0,NIKE,NOIR,21,https://www.vinted.fr/items/3891476681-nike-dunk-low-21?referrer=catalog,https://images1.vinted.net/t/01_023a6_h3mgFQrdx1nfE9YEyu6QoQsM/310x430/1702832082.jpeg?s=21542eb6657156a36f102b9cc717ba6d0daa15a3,"ISTRES, FRANCE",Kid
55,🎅🌹Nike Dunk Orange Syracuse Low EU 38,59.5,NIKE,ORANGE,38,https://www.vinted.fr/items/3892037925-nike-dunk-orange-syracuse-low-eu-38?referrer=catalog,https://images1.vinted.net/t/02_0027e_sNx73S7BXXwrQ71dRtJwpwM6/310x430/1702840599.jpeg?s=d0ce77a845bf180b122ee786c0a237048bcbb5a7,"MONTAUBAN, FRANCE",Kid
56,Nike Dunk🔥Low👟Black and whte panda🐼 40,38.11,NIKE,NOIR,40,https://www.vinted.fr/items/3886858508-nike-dunklowblack-and-whte-panda-40?referrer=catalog,https://images1.vinted.net/t/03_01b6e_ZHeiDKVHavjUdodYZfVhAr2y/310x430/1702723411.jpeg?s=042f48514f87d3ef9b8a2ac9b4bd74f1b8270181,FRANCE,Kid
57,Nike dunk low Triple pink 39,65.77,NIKE,ROSE,39,https://www.vinted.fr/items/3883971060-nike-dunk-low-triple-pink-39?referrer=catalog,https://images1.vinted.net/t/03_015a3_LxuoHV4gucZUc7fFjES7YcNm/310x430/1702631933.jpeg?s=de815a7bd4867027321bcfbd4fbf348cb0f49970,FRANCE,Kid
58,Dunk low UNC taile 34,150.0,NIKE,"BLANC, BLEU",34,https://www.vinted.fr/items/3879412577-dunk-low-unc-taile-34,https://images1.vinted.net/t/03_019ad_bcfTUeHWwbtbxjB6wddZdkqa/310x430/1702486303.jpeg?s=19617e4ea46b5716408f4130b95b26acfc6c6d44,"BORDEAUX, FRANCE",Kid
59,Dunk noire et blanches,40.0,NIKE,"NOIR, BLANC",27,https://www.vinted.fr/items/3882894663-dunk-noire-et-blanches?referrer=catalog,https://images1.vinted.net/t/01_0170d_PuZRRGgN7gZQvYw5MYrkZHB5/310x430/1702578891.jpeg?s=3df981bda8b472a70a3f3f3db30dbebf1f3c27ae,FRANCE,Kid
60,Dunk bleu noir et blanche ,50.0,NIKE,"NOIR, BLEU",33,https://www.vinted.fr/items/3878126582-dunk-bleu-noir-et-blanche?referrer=catalog,https://images1.vinted.net/t/03_00630_9NJ1Nkc55PgabdEPr8FzCVLG/310x430/1702467285.jpeg?s=3437c97c2e01e4ba309762b36ea4922d6f9bf69b,"MARSEILLE 14, FRANCE",Kid
61,Nike Dunk low panda ,35.0,NIKE,"NOIR, BLANC",23,https://www.vinted.fr/items/3879770666-nike-dunk-low-panda?referrer=catalog,https://images1.vinted.net/t/03_00785_1wnqhuugLLoSMhk72yUbXCTP/310x430/1702492092.jpeg?s=a36222726f0f7fe4158838a17ee3c9b97bb76bb8,"ÉPINAY-SUR-SEINE, FRANCE",Kid
62,Basket nike dunk low 26,45.0,NIKE,NOIR,26,https://www.vinted.fr/items/3866182667-basket-nike-dunk-low-26?referrer=catalog,https://images1.vinted.net/t/01_0199d_Kr6vid8E7Y2yurP9FNzhcxVj/310x430/1702208376.jpeg?s=8c1fb9d00e48b5b2f478746f8a8d5be84b2a66a0,"BOIS-GUILLAUME, FRANCE",Kid
63,Basket Nike ,28.0,NIKE,"BLANC, BLEU",24,https://www.vinted.fr/items/3881112693-basket-nike?referrer=catalog,https://images1.vinted.net/t/01_01b40_vqrj9YqS7ZozpL8ohrxGNwEu/310x430/1702548085.jpeg?s=0d34193fd3c464fe949a213a73f371c4ed8c412d,"PLAISANCE-DU-TOUCH, FRANCE",Kid
64,Nike Dunk SB Low Retro Green 36.5,56.0,NIKE,VERT,36,https://www.vinted.fr/items/3880347796-nike-dunk-sb-low-retro-green-365?referrer=catalog,https://images1.vinted.net/t/03_01671_sYFV3PAcg1R2eXRy6ugZYbuK/310x430/1702501990.jpeg?s=4db60c1da0a25a4d0e9a8c6e56d2a82880460bd9,"RUEIL-MALMAISON, FRANCE",Kid
65,Nike Dunk   Low   Black and whte panda  40,43.0,NIKE,NOIR,40,https://www.vinted.fr/items/3881816301-nike-dunk-low-black-and-whte-panda-40?referrer=catalog,https://images1.vinted.net/t/01_0132a_RBQdabdRJtmjvJNcuar9n9Ky/310x430/1702560004.jpeg?s=5663819c9339f529d2bea7d8ab721ea67a02355f,PAYS-BAS,Kid
66,Nike dunk low Triple pink 38,45.36,NIKE,ROSE,38,https://www.vinted.fr/items/3878561660-nike-dunk-low-triple-pink-38?referrer=catalog,https://images1.vinted.net/t/01_011d6_i2puThxakg8z3SDu48p5UNFC/310x430/1702473843.jpeg?s=98e36c6759a92ccea655f161ca29bfae41abc4ed,FRANCE,Kid
67,Sneakers Kids ‘ Nike Dunk low ‘ ,20.0,NIKE,"LILA, TURQUOISE",22,https://www.vinted.fr/items/3860310131-sneakers-kids-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_009b2_8g2w3eAGpjYCZHnr2fEaox3x/310x430/1702062515.jpeg?s=ca495d891a485e4f25dbe0e899cc5efb17843bed,FRANCE,Kid
