Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
530,Nike dunk ,60.0,NIKE,CORAIL,36.5,https://www.vinted.fr/items/3862109609-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_02043_K6e44bjGY1aHzPEUP27ggjCD/310x430/1702122904.jpeg?s=7507bd99cd0291f08bc2331b8a28820c5f615665,"CALUIRE-ET-CUIRE, FRANCE",Women
531,Nike Dunk Low,60.0,NIKE,"NOIR, BLANC",39,https://www.vinted.fr/items/3821145299-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_00faa_SRXfYnv8q6xVAwFHkzh6gSgt/310x430/1701181096.jpeg?s=6dac52a58d7f59fab0007200eb2578162d71cf61,"BREST, FRANCE",Women
532,Baskets Nike Dunk Low Safari Sable Green ,100.0,NIKE,"VERT, KAKI",38.5,https://www.vinted.fr/items/3886628484-baskets-nike-dunk-low-safari-sable-green?referrer=catalog,https://images1.vinted.net/t/01_01810_Eqy52HegcPgoYY1wNxC9nW4s/310x430/1702719442.jpeg?s=85c767e80e6b95839f6b1cd708fdf91a7758295a,"BOIS-COLOMBES, FRANCE",Women
533,"Dunk low 36,5",60.0,NIKE,BEIGE,36.5,https://www.vinted.fr/items/3887844926-dunk-low-365?referrer=catalog,https://images1.vinted.net/t/01_00e40_d2NcePptfP2gJhSB54sSeCue/310x430/1702738395.jpeg?s=abbca3b0254d8467f65352a9df954df42e83491d,"DRAVEIL, FRANCE",Women
534,Nike Dunk Low,120.0,NIKE,"GRIS, ROUGE",37.5,https://www.vinted.fr/items/3876722704-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_02158_EWBkCDJJSiuFYqt7rfXKHf5Y/310x430/1702411699.jpeg?s=c65b10708bfb01268199bf1501af8bc8816a4df5,BELGIQUE,Women
535,Nike Dunk SB low Panda ,75.0,NIKE,"NOIR, BLANC",37.5,https://www.vinted.fr/items/3888758440-nike-dunk-sb-low-panda?referrer=catalog,https://images1.vinted.net/t/01_01f06_So3daLLkaYbnbSfcrhaCmWVN/310x430/1702756096.jpeg?s=f2c8dd7ec239c386de8d5036be02663e4ce98f43,"GARDANNE, FRANCE",Women
536,Nike dunk high ,100.0,NIKE,"BEIGE, MARRON",36.5,https://www.vinted.fr/items/3886098137-nike-dunk-high?referrer=catalog,https://images1.vinted.net/t/03_00b0f_4SvQLA3taGN1R7zwsZsmQ9jM/310x430/1702675891.jpeg?s=efc870e4c2dd87043cb3ddb410557086db102bf9,"BESANÇON, FRANCE",Women
537,Dunk marron en daim ,60.0,NIKE,MARRON,37.5,https://www.vinted.fr/items/3884711462-dunk-marron-en-daim?referrer=catalog,https://images1.vinted.net/t/02_00d39_1tTVHEwBrZXJGTrF4o67EkvY/310x430/1702645909.jpeg?s=32bf61fde55dcb87914f1008262261814c8c1574,"SAVIGNY-LE-TEMPLE, FRANCE",Women
538,Nike Dunk Low Panda,100.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3887865104-nike-dunk-low-panda?referrer=catalog,https://images1.vinted.net/t/03_00d7b_YTzYaMkR4L1Jk3zqN9udNeMk/310x430/1702738705.jpeg?s=6aebd5c69b0dd7c59ea6e6024909663cd0a13ce5,"YVELINES, FRANCE",Women
539,Dunk bleu ,75.0,NIKE,"BLANC, BLEU",41,https://www.vinted.fr/items/3887429464-dunk-bleu?referrer=catalog,https://images1.vinted.net/t/02_019cd_gTBq8DVKfNNZ746hqR7B329i/310x430/1702732257.jpeg?s=f0bd43586c42f5598a99ae0492c1c104d50643f4,FRANCE,Women
