Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
Nike Air Force 1,10.0,NIKE,"NOIR, BLANC",42,https://www.vinted.fr/items/3434974149-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_00750_c4FwkShrTeyvxWTG2EvnL7KY/310x430/1693840479.jpeg?s=3c7248c082bff45faa917840a71bd6b594a7673c,"PORTO TORRES, ITALIE",Women,202.12399488232944,405,202.87600511767056,117.33137931034476,107.33137931034476
"Basket nike air force 1 taille 18,5",10.0,NIKE,BLANC,18,https://www.vinted.fr/items/3690015825-basket-nike-air-force-1-taille-185?referrer=catalog,https://images1.vinted.net/t/03_01763_Mt89mjsuCJfU3F5qzhbByk5L/310x430/1698744267.jpeg?s=4601cf69f6a562fdebbcf2e9162890bc35f6a306,"GRENADE-SUR-L'ADOUR, FRANCE",Kid,120.7360825548456,405,284.2639174451544,117.33137931034476,107.33137931034476
Air force 1 ,10.0,NIKE,ROUGE,23,https://www.vinted.fr/items/3863106013-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_0204e_vU2TWFHH4zpdio9FgbzbYzWq/310x430/1702133868.jpeg?s=92c3251bd24f0d48b20fce26aafac267fbfa8ef8,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,107.33137931034476
Air force 1 bébé ,10.0,NIKE,BLANC,17,https://www.vinted.fr/items/3651459796-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/03_0028c_QCayEQCyAgk8beP6XawxdfnH/310x430/1698041842.jpeg?s=25bd7be518e720ac48c8b95227180eda60a6f536,"ALLAUCH, FRANCE",Kid,131.9220351655806,405,273.0779648344194,117.33137931034476,107.33137931034476
Air force 1 ,10.0,NIKE,BLANC,21,https://www.vinted.fr/items/3491023249-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_02259_wepKpvjh4uJSsMKX6m2oKRKS/310x430/1695057817.jpeg?s=78d382de64c3a6bbb253c8dd0ad447009ba0bdb2,"AUBENAS, FRANCE",Kid,99.18900911857897,405,305.81099088142105,117.33137931034476,107.33137931034476
Basket Nike air force 1,10.0,NIKE,"BLANC, BLEU",30,https://www.vinted.fr/items/3704472605-basket-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_01fde_7PfjShzNdfiHXEowiVgaUbx8/310x430/1699012127.jpeg?s=e8cf1a1b3eb2d594151f99443a2a053ae4dee26c,"BAILLEUL, FRANCE",Kid,42.249668084573536,405,362.7503319154264,117.33137931034476,107.33137931034476
Basket Air Force 1,10.0,NIKE,"NOIR, DORÉ",25,https://www.vinted.fr/items/3565974953-basket-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_014de_D2RP7GMPYn6mBPEcUEjjbciE/310x430/1696508839.jpeg?s=b661522f747503dfc18fa2258347739afa1b6840,"NÉBOUZAT, FRANCE",Kid,70.33144553436783,405,334.66855446563216,117.33137931034476,107.33137931034476
A croquer ! Ces mini Nike Air Force 1 ,10.0,NIKE,BLANC,23,https://www.vinted.fr/items/3806240474-a-croquer-ces-mini-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_01da6_wLsmwGyemPdRqgZmKQjRzgtB/310x430/1700912739.jpeg?s=9bce811c97941e13f0f95c8b694361bc13996f8c,"COLOMBES, FRANCE",Kid,2.055825703155415,405,402.9441742968446,117.33137931034476,107.33137931034476
Nike Air Force 1,10.0,NIKE,"NOIR, BLANC",42,https://www.vinted.fr/items/3434974149-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_00750_c4FwkShrTeyvxWTG2EvnL7KY/310x430/1693840479.jpeg?s=3c7248c082bff45faa917840a71bd6b594a7673c,"PORTO TORRES, ITALIE",Men,202.12399488232944,405,202.87600511767056,117.33137931034476,107.33137931034476
Nike air force 1,10.0,NIKE,NOIR,34,https://www.vinted.fr/items/3744392282-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_01b08_6ysQLEq9gs1BUEjEoHbZZGR8/310x430/1699770878.jpeg?s=c3a746c88f5db549db9b670b23b81659fb685e61,"GENK, BELGIQUE",Kid,65.14883946563052,405,339.85116053436946,117.33137931034476,107.33137931034476
Air force 1 ,10.0,NIKE,"NOIR, BLANC",33,https://www.vinted.fr/items/3643204983-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_00eff_LhZ6sQKFhFApx2nDKDb3pYQt/310x430/1697908127.jpeg?s=bf2f62dfb7e19dc22281e8b814e2d20c65c56226,"LA GARENNE-COLOMBES, FRANCE",Kid,1.911546501506194,405,403.0884534984938,117.33137931034476,107.33137931034476
