Title;Price;Brand;Color;Size;Link;Image Source;Localisation;Gender;Approximate Carbon Footprint (kg CO2);Approximative Carbon Print from Ordering on Nike (kg CO2/ton);Carbon Profit (kg CO2);Average price of the product on Nike;Profit Made;
Nike blazer;10.0;NIKE;BLEU;37.0;https://www.vinted.fr/items/26618760-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01cf1_r88mHEeMbG8z8JH9U9Hqy5EE/310x430/1600072150.jpeg?s=241904c8eabfccddd742f5a0a1019c036d59bb3a;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;78.6856756756756;
Nike blazer;10.0;NIKE;ROSE;37.5;https://www.vinted.fr/items/200255367-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_001d8_qFNuciS96ZJxbiHWLjA9AZX6/310x430/1602245053.jpeg?s=007834b64a5f0fe7bbe820863c1b7e2b5505191b;CHÂTILLON-SUR-CHER, FRANCE;Women;37.44442635500785;405;367.55557364499214;88.6856756756756;78.6856756756756;
nike blazer;10.0;NIKE;BLEU, VERT;36;https://www.vinted.fr/items/2914818817-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01615_sc9hupW3AhefaMWNUBuxpxwq/310x430/1681737361.jpeg?s=091aa45eae28952a6dba33f316a64e9efe6aa669;BRINDISI, ITALIE;Kid;303.00296420545794;405;101.99703579454206;88.6856756756756;78.6856756756756;
Nike blazer;10.0;NIKE;NOIR;38.0;https://www.vinted.fr/items/3403981324-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_02673_draUZkMXwtp24tQJ9ZV9iqg8/310x430/1693242260.jpeg?s=af7e11d378f99640a137f4ae746921078010446e;VAULX-EN-VELIN, FRANCE;Women;78.68382433300526;405;326.31617566699475;88.6856756756756;78.6856756756756;
Blazer Nike ;10.0;NIKE;NOIR, BLANC;42;https://www.vinted.fr/items/2899260908-blazer-nike?referrer=catalog;https://images1.vinted.net/t/03_0200a_MwHXBTt4CkGrJSEReQLZVm6h/310x430/1681403302.jpeg?s=c718990e0bbd7cc8610d83a5d6fe586f0ab18561;FRANCE;Men;50.58615778249138;405;354.4138422175086;88.6856756756756;78.6856756756756;
Nike blazer;10.0;NIKE;GRIS, ROSE;38.5;https://www.vinted.fr/items/192786717-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01263_Dko6chtbzbVaAtx2jmczGZ5W/310x430/1601963667.jpeg?s=6f19c38e39c49f0dd1db658c2bbba01ecd2fe0ea;MAUBEUGE, FRANCE;Women;39.34306232785988;405;365.6569376721401;88.6856756756756;78.6856756756756;
Blazer Nike ;10.0;NIKE;MOUTARDE;38.5;https://www.vinted.fr/items/3835803251-blazer-nike?referrer=catalog;https://images1.vinted.net/t/01_00841_mWXkYUbCVkKHVc1YSfhTodJD/310x430/1701522922.jpeg?s=f9bd85402be6d3f4c16dbe8fc73518cada0a7ed5;ISTRANA, ITALIE;Women;163.4166081110356;405;241.5833918889644;88.6856756756756;78.6856756756756;
Nike blazer ;10.0;NIKE;NOIR;40.0;https://www.vinted.fr/items/2193288191-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00bb8_H2FYo4Rzg42t29Wzs5V3WECz/310x430/1663003319.jpeg?s=408d5b6b21e260233bf899f101c6be75450e11c1;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;78.6856756756756;
nike blazer;10.0;NIKE;ROSE, BORDEAUX;39.0;https://www.vinted.fr/items/2284265698-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00892_7kaf4ac73e2LGrFHMC1iSWoz/310x430/1665138218.jpeg?s=3db0e975491ede0fcfcc80344a96aaad1edd29a7;VERNON, FRANCE;Women;13.73476669863937;405;391.26523330136064;88.6856756756756;78.6856756756756;
Nike blazer;10.0;NIKE;GRIS;38.0;https://www.vinted.fr/items/1919916704-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01af6_ps2Cva8oHi79RfKC3Czvhx81/310x430/1653854091.jpeg?s=5410a5c85da1daf9798d102fd98a79838d224c61;MILANO, ITALIE;Women;128.1445985899978;405;276.8554014100022;88.6856756756756;78.6856756756756;
